code,name
biol428,Plant Molecular Genetics
biol431,Bacterial Molecular Genetics
biol432,Molecular Biotechnology 2
biol433,Plant Biotechnology
biol434,Human Molecular Genetics
biol438,Molecular Biology of Animal Development
biol439,Environmental and Natural Products Biochemistry
biol441,Advances in Immunology
biol442,Virology
biol443,Fermentation Biotechnology
biol444,Bacterial Pathogenesis
biol447,Environmental Microbiology
biol448,Microbial Physiology and Biochemistry
biol449,Public Health Microbiology
biol450,Marine Biology
biol451,Advanced Ecology and Evolution
biol452,Quantitative Fisheries Biology
biol455,Ecological Risk Assessment and Management
biol456,Population Biology
biol457,Analysis of Communities
